#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000038 CALCULE LE 10/09/2026 A 09:13:11 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,1       ,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,2       ,   2.5000000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   7.7003026125911311E-18,  -1.4341199983417899E-03,   2.5667675375854511E-09,   1.1287386443446356E-02,  -1.2337018257572659E-27
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,3       ,   5.0000000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   1.5400605224970992E-17,  -5.5673976245164793E-03,   5.1335350751962719E-09,   2.1593261022662631E-02,  -2.3004382204934204E-27
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,4       ,   7.5000000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   2.3100907837387220E-17,  -1.2154454912465798E-02,   7.7003026129012051E-09,   3.0917623737640794E-02,  -3.2041137312614911E-27
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,5       ,   1.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.0801210450214210E-17,  -2.0949913896127874E-02,   1.0267070150811670E-08,   3.9260474588359080E-02,  -3.9506391072996977E-27
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,6       ,   1.2500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   3.8501513063996205E-17,  -3.1708396609432921E-02,   1.2833837689096263E-08,   4.6621813574773151E-02,  -4.5476923027352195E-27
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,7       ,   1.5000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   4.6201815679343282E-17,  -4.4184525086296673E-02,   1.5400605227946237E-08,   5.3001640696814088E-02,  -5.0050547949628241E-27
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,8       ,   1.7500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   5.3902118296751110E-17,  -5.8132921360615021E-02,   1.7967372767515659E-08,   5.8399955954390140E-02,  -5.3364262686530847E-27
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,9       ,   2.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   6.1602420916693276E-17,  -7.3308207466257574E-02,   2.0534140307952508E-08,   6.2816759347383372E-02,  -5.5580986691587945E-27
RESU            ,DEPL            ,   0.0000000000000000E+00,                        1,10      ,   2.2500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   6.9302723539961731E-17,  -8.9465005437061942E-02,   2.3100907849512368E-08,   6.6252050875653182E-02,  -5.6893189164676973E-27
