#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000017 CALCULE LE 08/09/2026 A 14:30:18 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,DEPL            , 1.00000E+00,           1,1       , 5.00000E+00, 0.00000E+00,-1.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
RESU            ,DEPL            , 1.00000E+00,           1,2       , 5.00000E+00, 0.00000E+00, 1.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
RESU            ,DEPL            , 1.00000E+00,           1,3       , 5.00000E+00, 3.00000E+00,-1.00000E+00, 7.72578E-12,-3.41083E-06,-4.73156E-04,-5.47232E-05,-6.87172E-12,-7.23365E-12
RESU            ,DEPL            , 1.00000E+00,           1,4       , 5.00000E+00, 3.00000E+00, 1.00000E+00,-7.72578E-12, 3.41083E-06,-4.73156E-04,-5.47232E-05,-6.87172E-12, 7.23365E-12
RESU            ,DEPL            , 1.00000E+00,           1,5       , 0.00000E+00, 3.11430E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
RESU            ,DEPL            , 1.00000E+00,           1,6       , 5.00000E+00, 3.11430E+00, 0.00000E+00, 2.35494E-19, 4.86797E-17,-6.52585E-03, 1.70612E-17, 9.09074E-16,-1.29841E-21
RESU            ,DEPL            , 1.00000E+00,           1,7       , 1.00000E+01, 3.11430E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
RESU            ,DEPL            , 1.00000E+00,           1,8       , 2.50000E+00, 3.11430E+00, 0.00000E+00, 2.31998E-13, 2.43087E-17,-3.26883E-03, 1.27693E-17, 1.95439E-03, 1.45660E-17
RESU            ,DEPL            , 1.00000E+00,           1,9       , 7.50000E+00, 3.11430E+00, 0.00000E+00,-2.31998E-13, 2.43070E-17,-3.26883E-03, 1.34846E-17,-1.95439E-03,-1.45653E-17

